node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00000000011111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.009
0,00000100001111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.008
0,00000100010111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.377
0,00000100011011110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.005
0,00000100011101110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.005
0,00000100011110110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.006
0,00000100011111010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.006
0,00000100011111100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.005
0,00000100011111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.007
0,00000100011111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.008
0,00000100011111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110011100000000111101011001111000010011011000011111001000001101000,2,0,0,0.157
0,00000100011111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.007
0,00000100011111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.006
0,00000100011111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.006
0,00000100011111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.007
0,00000100011111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.007
0,00000100011111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.008
0,00000100011111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.006
0,00000100011111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.432
0,00000100011111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,2,0,0,0.009
